品牌名,价格,商品名称,商品编号,店铺,商品毛重,商品产地,酒精度,包装规格,容量,口味,适用场景,加工工艺
"
红动\/澳迪尼女生微醺果酒375ml低度9度桂花酿2瓶",59.00,红动\/澳迪尼女生微醺果酒375ml低度9度 桂花酿2瓶,10026867101192, ,1.0kg,中国大陆,3%-7%vol,瓶装,375mL以下,青梅，其他,家庭聚会,发酵果酒
"
红动\/澳迪尼女生微醺果酒375ml低度9度桃花十里醉2瓶",59.00,红动\/澳迪尼女生微醺果酒375ml低度9度 桃花十里醉2瓶,10026867101190, ,1.0kg,中国大陆,3%-7%vol,瓶装,375mL以下,青梅，其他,家庭聚会,发酵果酒
"
醉鹅娘狮子歌歌狮子优格原味酸奶酒女士微醺酒颜值甜酒330ml*1支",49.00,醉鹅娘 狮子歌歌 狮子优格原味酸奶酒女士微醺酒颜值甜酒 330ml*1支,10026614806478, ,1.0kg,空,3%-7%vol,其它,375mL-749mL,其他,闺蜜私语，亲友馈赠，情侣约会,发酵果酒
"
侍魂小萄气小tao气葡萄水果酒洋酒白桃*1+草莓樱桃*1",75.90,侍魂小萄气小tao气葡萄水果酒洋酒 白桃*1+草莓樱桃*1,10029852806504, ,300.00g,空,3%-7%vol,瓶装,375mL以下,葡萄，混合，其他,派对必备，朋友小聚，自斟自饮,发酵果酒
"
嘿小妞梅井良宵果酒青梅发酵酒龙井茶少女心酒甜果酒单支装微醺酒梅井良宵",159.00,嘿小妞梅井良宵果酒青梅发酵酒龙井茶少女心酒甜果酒单支装微醺酒 梅井良宵,10028329722005, ,1.0kg,空,3%-7%vol,其它,750mL-1.5L,青梅,闺蜜私语,发酵果酒
"
白鸟花果酒系列酒桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒6度低度数小瓶装10度茉莉米酒200mL",79.00,白鸟花果酒系列酒 桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒6度低度数 小瓶装 10度 茉莉米酒 200mL,10025082034559, ,0.56kg,中国大陆,3%-7%vol,礼盒装,375mL以下,青梅，其他,礼节拜访，朋友小聚，商务宴请,发酵果酒
"
威兰特果小酒红西柚果酒200ml*6瓶纯发酵低度甜酒",108.00,威兰特果小酒件,10028141764160,空,2.715kg,3%-7%vol,空,瓶装,375mL以下,青梅，其他,闺蜜私语，派对必备，朋友小聚,发酵果酒
"
通明山山楂酒整箱经典老味道水果酒女士低度甜酒70年代5度山楂酒送礼红酒山楂酒500ml整箱6瓶",89.00,通明山 山楂酒整箱 经典老味道水果酒 女士低度甜酒 70年代5度山楂酒 送礼红酒 山楂酒500ml整箱6瓶,71846964861, ,1.0kg,中国大陆,3%-7%vol,瓶装,375mL-749mL,其他,家庭聚会，朋友小聚，自斟自饮,发酵果酒
"
归素古风微醺花果酒青梅酒桃花酒桃花酿桂花酿柚子酒荔枝酒青梅子酒果酒微醺少女心甜酒500ml*4",99.00,归素果酒,10024213955255,空,3.722kg,3%-7%vol,空,罐装,375mL-749mL,其他,闺蜜私语，朋友小聚，野餐出游,发酵果酒
"
密子君推荐三生石红西柚酒甜酒糯米酒少女微醺果酒晚安酒礼盒",88.00,密子君推荐三生石红西柚酒甜酒糯米酒少女微醺果酒晚安酒礼盒,69934946544, ,1.3kg,中国大陆,3%-7%vol,礼盒装,375mL-749mL,其他,闺蜜私语，朋友小聚，野餐出游,发酵果酒
"
【季节限定】MIK米客女士微醺低度酒果酒水蜜桃味果酒旺桃野餐出游250ml*3瓶旺桃蜜桃味250ml*3瓶",79.00,【季节限定】MIK米客 女士微醺低度酒果酒水蜜桃味果酒旺桃 野餐出游 250ml*3瓶 旺桃蜜桃味250ml*3瓶,61671622610, ,0.8kg,中国大陆,空,旺桃250ml*3普通装,空,3%-7%vol,空,组合装,空,375mL以下,空,桃子,空,朋友小聚，野餐出游，自斟自饮,发酵果酒
"
【买一送一】珠丽雅高颜值果酒女士低度甜酒果味少女晚安酒6度358ML柚子酒（买1发2）",38.00,【买一送一】珠丽雅高颜值果酒 女士低度甜酒 果味少女晚安酒 6度 358ML 柚子酒（买1发2）,71434059253, ,0.79kg,空,3%-7%vol,瓶装,375mL以下,青梅，桃子，其他,闺蜜私语，酒吧夜店，情侣约会,发酵果酒
"
侍魂小萄气小tao气葡萄水果酒女士低度甜酒果酒少女女生原果发酵低度微醺系晚安酒低度酒小甜水草莓樱桃味300ml*2",75.80,侍魂小萄气小tao气葡萄水果酒 女士低度甜酒果酒 少女女生原果发酵 低度微醺系晚安酒低度酒小甜水 草莓樱桃味300ml*2,10029640986800, ,300.00g,空,3%-7%vol,瓶装,375mL以下,葡萄，混合,闺蜜私语，家庭聚会，朋友小聚,发酵果酒
"
归素古风微醺花果酒荔枝酒青梅酒桂花酒桂花酿柚子酒青梅子酒少女心甜酒网红酒500ml*4",99.00,归素果酒,10024213970276,空,3.95kg,3%-7%vol,空,罐装,375mL-749mL,青梅，桃子，其他,闺蜜私语，朋友小聚，野餐出游,发酵果酒
"
【品乐侍酒】日本进口奈良丰泽酒造丰祝柚子酒日本清酒原装进口果酒",168.00,【品乐侍酒】日本进口  奈良丰泽酒造  丰祝柚子酒  日本清酒 原装进口 果酒,10027195204260, ,1.3kg,空,3%-7%vol,瓶装,375mL-749mL,其他,闺蜜私语，情侣约会，自斟自饮,发酵果酒
"
【买一送一】珠丽雅高颜值果酒女士低度甜酒果味少女晚安酒6度358ML百香果酒（买1发2）",38.00,【买一送一】珠丽雅高颜值果酒 女士低度甜酒 果味少女晚安酒 6度 358ML 百香果酒（买1发2）,71434059249, ,0.79kg,空,3%-7%vol,瓶装,375mL以下,青梅，桃子，其他,闺蜜私语，酒吧夜店，情侣约会,发酵果酒
"
【买一送一】珠丽雅高颜值果酒女士低度甜酒果味少女晚安酒6度358ML乌龙蜜桃酒（买1发2）",38.00,【买一送一】珠丽雅高颜值果酒 女士低度甜酒 果味少女晚安酒 6度 358ML 乌龙蜜桃酒（买1发2）,71434059243, ,0.79kg,空,3%-7%vol,瓶装,375mL以下,青梅，桃子，其他,闺蜜私语，酒吧夜店，情侣约会,发酵果酒
"
白鸟花果酒系列米酒桂花玫瑰青梅白桃茉莉杨梅酒糯米精酿女士酒清酒甜酒低度数组合装青梅+桂花+玫瑰+茉莉+杨梅+白桃500mL6瓶装",954.00,白鸟花果酒系列米酒 桂花玫瑰青梅白桃茉莉杨梅酒糯米精酿女士酒清酒甜酒低度数 组合装 青梅+桂花+玫瑰+茉莉+杨梅+白桃500mL6瓶装,10025082588429, ,1.268kg,空,3%-7%vol,礼盒装,375mL-749mL,青梅，其他,家庭聚会，礼节拜访，自斟自饮,发酵果酒
"
侍魂小萄气小tao气葡萄水果酒女士低度甜酒果酒少女女生原果发酵低度微醺系晚安酒低度酒小甜水3种口味各2瓶",159.00,侍魂小萄气小tao气葡萄水果酒 女士低度甜酒果酒 少女女生原果发酵 低度微醺系晚安酒低度酒小甜水 3种口味各2瓶,10030186479091, ,300.00g,中国香港,3%-7%vol,瓶装,375mL以下,混合，其他,闺蜜私语，家庭聚会，亲友馈赠,发酵果酒
"
放思番石榴火龙果酒水果酒6度低度微醺晚安酒果味甜酒200ml单瓶装",37.00,放思番石榴火龙果酒,100011541719,空,0.6kg,中国大陆,3%-7%vol,瓶装,375mL以下,石榴,闺蜜私语，朋友小聚，自斟自饮,发酵果酒
"
嘿小妞梅梅白桃果酒礼盒梅梅白桃(满2瓶送手提袋)",159.00,嘿小妞梅梅白桃果酒礼盒 梅梅白桃(满2瓶送手提袋),10028329623561, ,1.0kg,空,3%-7%vol,其它,750mL-1.5L,其他,婚宴用酒,发酵果酒
"
三生石柠檬屿树柠檬酒糯米酒少女微醺低度果酒礼盒颜值礼物晚安酒",88.00,三生石柠檬屿树柠檬酒糯米酒少女微醺低度果酒礼盒颜值礼物晚安酒,70444597252, ,1.3kg,中国大陆,3%-7%vol,礼盒装,375mL-749mL,其他,朋友小聚，野餐出游，自斟自饮,发酵果酒
"
黑尚莓冰莓酒树莓酒洋酒起泡酒微醺果酒低度酒水果酒覆盆子酒气泡酒果味酒冰梅酒2000ml*1桶",128.00,黑尚莓冰莓酒 树莓酒 洋酒 起泡酒 微醺果酒 低度酒 水果酒 覆盆子酒 气泡酒 果味酒 冰梅酒 2000ml*1桶,68843848170, ,1.8kg,中国大陆,3%-7%vol,瓶装,1.5L及以上,混合,派对必备，朋友小聚，自斟自饮,发酵果酒
"
三生石荔枝酒水果酒女士低度微醺甜酒高颜值礼品酒闺蜜生日礼物",69.00,三生石 荔枝酒水果酒女士低度微醺甜酒高颜值礼品酒闺蜜生日礼物,70841550321, ,1.1kg,空,3%-7%vol,礼盒装,375mL以下,其他,闺蜜私语，家庭聚会，朋友小聚,发酵果酒
"
放思柠檬茶酒水果酒6度低度微醺晚安酒果味甜酒200ml单瓶装",37.00,放思柠檬茶酒,100021974480,空,0.6kg,中国大陆,3%-7%vol,瓶装,375mL以下,混合,闺蜜私语，朋友小聚，自斟自饮,发酵果酒
"
MissBerry贝瑞甜心果酒礼盒梅梅百香果微醺女士水果酒果酒微醺甜酒送香薰",158.00,MissBerryBRTX0044,10026687389994, ,4.0kg,中国大陆,空,BRTX0044,空,3%-7%vol,空,礼盒装,空,375mL以下,空,桃子，其他,空,礼节拜访，亲友馈赠，情侣约会,发酵果酒
"
嘿小妞梅井良宵果酒青梅发酵酒龙井茶少女心酒甜果酒单支装微醺酒梅井良宵",159.00,嘿小妞梅井良宵果酒青梅发酵酒龙井茶少女心酒甜果酒单支装微醺酒 梅井良宵,10028329722005, ,1.0kg,空,3%-7%vol,其它,750mL-1.5L,青梅,闺蜜私语,发酵果酒
"
威兰特果小酒青梅味果酒200ml*6瓶纯发酵低度甜酒",108.00,威兰特果小酒件,10028141764161,空,2.715kg,3%-7%vol,空,瓶装,375mL以下,青梅，其他,闺蜜私语，派对必备，朋友小聚,发酵果酒
"
红动\/澳迪尼女生微醺果酒375ml低度9度青梅酒2瓶",59.00,红动\/澳迪尼女生微醺果酒375ml低度9度  青梅酒2瓶,10026867101191, ,1.0kg,中国大陆,3%-7%vol,瓶装,375mL以下,青梅，其他,家庭聚会,发酵果酒
"
【买一送一】珠丽雅高颜值果酒女士低度甜酒果味少女晚安酒6度358ML抹茶梅酒（买1发2）",38.00,【买一送一】珠丽雅高颜值果酒 女士低度甜酒 果味少女晚安酒 6度 358ML 抹茶梅酒（买1发2）,71434059247, ,0.79kg,空,3%-7%vol,瓶装,375mL以下,青梅，桃子，其他,闺蜜私语，酒吧夜店，情侣约会,发酵果酒
"
猫白白白桃果酒6度微醺女生酒单瓶装375ml",69.00,猫白白白桃果酒,100021076156,空,0.68kg,中国大陆,3%-7%vol,瓶装,375mL以下,桃子,家庭聚会，朋友小聚，自斟自饮,发酵果酒
"
思百龄洋酒果酒甜酒纯发酵微醺黄杏桃红248ml瑚珊单支",25.00,思百龄 洋酒 果酒 甜酒 纯发酵 微醺 黄杏桃红 248ml 瑚珊单支,10026626558625, ,1.0kg,中国大陆,3%-7%vol,礼盒装,375mL以下,葡萄，苹果，桃子,闺蜜私语，家庭聚会，朋友小聚,发酵果酒
"
【季节限定】MIK米客女士微醺低度酒果酒水蜜桃味果酒旺桃野餐出游250ml*3瓶旺桃蜜桃味250ml*3瓶",79.00,【季节限定】MIK米客 女士微醺低度酒果酒水蜜桃味果酒旺桃 野餐出游 250ml*3瓶 旺桃蜜桃味250ml*3瓶,61671622610, ,0.8kg,中国大陆,空,旺桃250ml*3普通装,空,3%-7%vol,空,组合装,空,375mL以下,空,桃子,空,朋友小聚，野餐出游，自斟自饮,发酵果酒
"
醉鹅娘狮子歌歌狮子优格原味酸奶酒女士微醺酒颜值甜酒330ml*1支",49.00,醉鹅娘 狮子歌歌 狮子优格原味酸奶酒女士微醺酒颜值甜酒 330ml*1支,10026614806478, ,1.0kg,空,3%-7%vol,其它,375mL-749mL,其他,闺蜜私语，亲友馈赠，情侣约会,发酵果酒
