内容,评论时间,用户名,id,产品名
物流快速，包装保护很好，瓶子很精緻,2021/5/12 12:19,****j,15663204265,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
包装还不错，瓶子挺漂亮的，酒还没喝，过几天尝尝看。,2021/5/10 10:42,爱***1,15654595959,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
酒的味道不错，酒瓶外观不错。,2021/5/8 23:47,星***舟,15649850297,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
颜值高，口感好，值得回购。,2021/5/8 19:38,拉***女,15649026533,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
很棒，是喜欢的味道，再次回购,2021/5/5 12:14,木***涟,15635727585,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
不是很好喝,2021/5/3 19:38,林***久,15629992837,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
各种口味，瓶装各种颜色，味道略苦，口感还可以。瓶子也挺精致，喝完了用来插花也可以。,2021/5/2 19:46,a***鱼,15626532448,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
收到货看了一眼，惊喜连连，包装非常安全让人放心，瓶子很好看，喝了一口味道不错，只是有一瓶稍稍有点漏，不过已经好点了！(?????,2021/4/30 21:07,梦***芮,15620338840,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
颜值太高了 还担心路上会不会露出来或者打碎 没想到包装很完整 很满意的一次购物,2021/4/30 11:02,****5,15618380398,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
很不错，还没喝，看着很漂亮,2021/4/29 22:12,木***涟,15617115873,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
感觉很不错，就是量有点少！,2021/4/29 14:41,佐***尔,15615515414,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
不错,2021/4/29 12:45,****W,15615122864,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
味道好，实惠！配送快！,2021/4/28 8:32,深***花,15610421346,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
东西已到货，略有瑕疵，已联系客服，客服已处理。,2021/4/27 18:32,清***_,15608821166,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
好,2021/4/26 6:10,****u,15602417762,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
好,2021/4/26 6:10,****u,15602427522,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
第一个接触这个是在杭州，那一次去西塘古镇接触了这个，首当其冲的是被它的香味吸引的，最后在热情老板的推荐了，抱着试一试的态度品尝了一下，品尝了之后真的不得了，一下子就爱上了，而且成为了忠诚的客户，不管自己在哪里，都会时不时的买上一箱，喝完了就继续囤货，非常的不错，因为自己本身酒量就不好，所以这个对自己特别的合适，超级喜欢,2021/4/25 21:02,榆***5,15601661565,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
第二次购买了，性价比很高，颜值包装很好看，味道也不错,2021/4/13 16:52,****w,15541448966,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
味道一般，有两瓶盖子那里漏水出来,2021/4/12 18:08,不***号,15534605173,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
蓝莓味的撒出来了。,2021/4/11 15:49,****6,15526989295,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
口味很喜欢 酒精度数不高,2021/4/10 14:46,a***i,15519712577,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
还不错,2021/4/10 8:42,9***英,15518491273,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
还是青梅酒好喝，其他的一般般吧！,2021/4/9 17:01,****7,15516728070,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
宝贝收到，物流很快，描述相符，比较满意，好评，推荐，同事试饮了一杯马上叫我帮买一箱,2021/4/7 18:23,****s,15509810279,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
性价比很高，很实惠，使用起来感觉很好，非常完美.^?^.价格非常的美丽，东西还是不错的，会继续回购！全五分！奈斯奈斯～已经收到啦，很不错，还有赠品，性价比太高啦，爱了爱了(?&bull;??&bull;?)??价格超优惠，性能也非常棒，完美的一次购物是正品很好用，价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买东西比我想象中的还要完美，十分给力，值得入手,2021/4/5 13:07,没***3,15501050283,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
味道不错，包装很好的。,2021/4/4 12:50,岳***辛,15497685137,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
打开就尝了点 味道不错 淡淡的清香 不上头 还送了杯子 值得购买。,2021/3/31 23:50,取***的,15484912515,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
女儿说好喝,2021/3/31 13:34,****a,15482688417,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
味道可以就是盖子设计不是很好？收到货这酒有点流出来。密封性不好。,2021/3/31 13:18,j***黄,15482640474,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
很好,2021/3/29 19:33,郭***爱,15476381238,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
满意，下次还来。,2021/3/28 22:35,银***妖,15473183149,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
收到的酒有5瓶都在漏，密封太差了，咋外包装也是破的，就得口感也不好，直接踩雷了。,2021/3/28 9:41,****4,15470344766,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
好喝，比较清冽，就是喜欢的口味没了,2021/3/25 15:16,杨***爹,15460617026,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
度数不高，挺好喝的，瓶子也好漂亮，,2021/3/25 10:18,****b,15459534297,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
一箱六瓶不同颜色不同口味的酒，喝起来很好喝,2021/3/25 9:07,g***g,15459278748,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
味道纯正，包装精美。,2021/3/24 15:48,s***3,15457023212,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
宝贝已经收到，物流很快，包装精美，还有赠品，味道还没有品尝，如果好，还会再买。,2021/3/23 17:50,****w,15453746170,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
外观设计的非常漂亮，可以当做工艺品收藏了，酒送人的，所以无法评价。,2021/3/22 21:28,有***欢,15450771255,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
非常好的一次购物，酒喝起来也非常好。,2021/3/21 17:38,****4,15446136839,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
瓶子多少有漏液，反应商家说正常情况，但是一点味道都没有了，跟水一样，希望大家拍酒水这些还是要慎重，因为商家不负责任的。,2021/3/20 21:42,赶***9,15443380474,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
味道好不上头。,2021/3/20 19:56,****y,15442996279,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
这份酒带我找到了对象，我必须赞一个?,2021/3/20 9:16,天***汉,15440656835,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
缺了荔枝味，我去找店小二，别人趾高气昂的说，当时商品页都写的明明白白，潜意识就是怪你自己没看清就下单，平静的口气感受不到一点温度，对比之下就是冷漠了。应该不会回购了！,2021/3/19 20:52,我***手,15439591595,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
好喝不上头好入口,2021/3/19 14:00,****z,15438111873,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
老顾客了，一直各种颜色搭配。现在是瞎配，黄色没有一瓶，红色单色一大堆,2021/3/19 11:19,****g,15437538020,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
好喝，发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评,2021/3/17 18:00,z***M,15431479029,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
还没喝，喝了再来评价，洒瓶好看,2021/3/17 10:59,****x,15429916402,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
过年时候买了一箱，里面有六种味道，十分好看。在冰箱里冰镇之后口感更好了一点，不会觉得酒味儿特别大，特别适合女生喝的。还会回购。,2021/3/16 18:42,d***i,15427858634,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
过年没有回家给父母买的，包装很完美度数不高。,2021/3/15 19:36,t***2,15424186719,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
颜值特别高，还赠送了两个酒杯和一个分酒器，颜值也是高的不得了。,2021/3/15 17:34,z***n,15423735084,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
京东是我的购物首选，特别自营产品，时间有保障，质量没问题,2021/3/15 17:15,奔***肉,15423670514,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
花果酒很好喝，不醉人,2021/3/15 9:42,m***1,15421868058,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
味道跟Rio差不多，淡淡的果香，瓶子真的好看,2021/3/14 15:38,s***h,15419460374,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
买了几次了，各种味道各有特色。,2021/3/13 17:53,c***8,15416347493,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
口味很一般，只能算口感清爽的饮品，桂花口味的挺失望，只能说店家送的酒具还算用心。,2021/3/13 11:20,贝***泾,15414932062,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
酒的口味还行，没什么度数,2021/3/12 8:36,z***0,15410657672,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
宝贝收到了，包装很结实，应该是个好东西，先给好评了趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说，棒?实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！,2021/3/11 23:21,浑***瘦,15410144672,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
好,2021/3/11 9:20,****i,15406872054,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
买了一箱，物流非常快，东西到了里面还送了杯子，这包装的真好看，每种口味各一瓶，非常喜欢这瓶子。味道也很好。,2021/3/11 1:16,****h,15406365429,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
味道还不错?,2021/3/10 17:33,****手,15404855693,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
到貨挺及時，包裝大氣，味道純正，非常不錯,2021/3/10 13:18,****i,15403830503,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
快递慢了，其它还行,2021/3/10 8:13,等***3,15402618711,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
第一次买，小孩子比较喜欢喝一丁点,2021/3/10 7:38,l***e,15402540623,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
好香的酒呀，瓶子也很漂亮，喜欢,2021/3/9 20:41,****b,15401476276,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
宝贝已收到?，超级喜欢，颜值高又实用，超级喜欢！???到手就喝完了,2021/3/9 19:47,c***9,15401241202,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
每个口味都好喝，喜欢，会再买,2021/3/9 13:28,l***3,15399675920,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
不是想象的味道,2021/3/9 10:53,柠***苹,15398984489,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
还不错，希望优惠多多，，，,2021/3/9 7:25,神***友,15398259499,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
还行吧,2021/3/8 16:50,请***话,15396334606,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
粉粉嫩嫩，因为瓶子买了它，果真不失望，丢丢酒精味,2021/3/8 8:28,****g,15394356933,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
为了这个瓶子买的，六瓶味道都是一样，喝不出口味的区分，喝起来不错。,2021/3/7 23:02,坨***萌,15393791446,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
还可以吧，多口味，包装也还行,2021/3/7 17:19,****动,15392457823,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
"嗯当天到货就已经喝了四瓶,然后味道很不错,尤其是那个荔枝的味道,特别甜,特别纯,而且说没有酒味,然后那个酒精度数并不是很高,也特别适合那些量不行的,或者一些女孩子来喝这个酒的嗯,在京东嗯,打折期间购买的,然后力度很大,很值得购买的,而且类似的有小酒,还有开瓶器期权,商家很好,很棒,请大家值得购买哟",2021/3/6 22:53,无***6,15389835683,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
口味重复，其它还好,2021/3/6 21:59,****a,15389646651,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
酒瓶非常好看，可以当艺术品了。,2021/3/6 20:50,有***欢,15389379110,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
好喝，喜欢，送礼好东西,2021/3/6 15:37,l***2,15388106761,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
已经喝完了，挺不错的，还有送的小杯子,2021/3/6 12:30,风***1,15387355117,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
酒的味道不错，主要我老婆他们多少得喝点意思意思,2021/3/5 22:28,刘***安,15385798389,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
还行吧，价格不贵，喝着也还可以。女性朋友还挺喜欢的！让我再给她买点！,2021/3/5 11:50,烟***s,15383329482,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
此用户未填写评价内容,2021/3/5 10:23,s***s,15382954228,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
味道不错，度数也小，可以当饮料喝。,2021/3/4 10:24,永***4,15378808763,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
